selector,trial,role,nickname,fingerprint,ip,country,bandwidth
Tor,81,middle,Unnamed,KtgvOWTTJbP+L/dOmA+wBjdO8ZA,137.74.164.213,France,36000
Tor,81,exit,eo193,jKM2iLmPDqGyU+yvrFHzUDK93Kw,23.129.64.193,United States,6600
Tor,82,guard,krsone,N/cFRh9gpszhqxVqmiRPTVm6tCw,64.65.63.10,United States,59000
Tor,82,middle,mikrogravitationC,8CMXpa8gt1nu27UKwxVELe8srJk,45.14.233.249,Germany,47000
Tor,82,exit,kofatra,L8aDYP7yAG1US/rDM5vRDpJ2lTY,23.129.64.171,United States,7700
Tor,83,guard,blockaide,6p4EKgXoUQdqZXY5zQyE2NqGp28,188.214.132.18,Lithuania,31000
Tor,83,middle,homik5,PbWcpFz6eV6NZTeZuz4uQPuURoQ,51.68.226.107,France,37000
Tor,83,exit,samarati,udv18tdP3l1/YniyJtOeP9dF3tQ,23.129.64.164,United States,7300
Tor,84,guard,VoyRelay,rYD5b6rE6o4rlr9OC8xo9jCu3IA,68.234.73.164,United States,3200
Tor,84,middle,anonymo02,Hayb63Nv0qSBFCNW6BI7PQNNPA4,185.156.174.250,Czechia,44000
Tor,84,exit,eo207,h9bKPR1givNR37NcmC+JPXZut2Y,23.129.64.207,United States,6800
Tor,85,guard,fluxe4,6+cY4aSe4ikHFwKWT42x8xgHX/g,131.188.40.188,Germany,44000
Tor,85,middle,IdotI,voIl8gw6QcOweH9md5h7z51EDwE,185.246.188.117,The Netherlands,65000
Tor,85,exit,bowden,pbyQi1JNl03Yu5vVGr3fJ5jxJX8,23.129.64.133,United States,5500
Tor,86,guard,janiTORX5,mcfxAO66J2d3FdAxinHTY2a4BLE,88.99.142.177,Germany,120000
Tor,86,middle,prsv,a0/f5JpvGAMCK/igLqnQAcR2JBU,51.89.23.41,Germany,77000
Tor,86,exit,sullyhelpstor,4JmcX0LRIgSqgDhlPbrNzh9A5/8,107.189.13.254,Luxembourg,24000
Tor,87,guard,prsv,mtH9Uyp3BxAX7hRyuttNN9BWTXc,57.129.44.38,Germany,49000
Tor,87,middle,Quetzalcoatl,YlAKtAH5NVhnfB6MYeckvUZs6KA,104.244.79.61,Switzerland,50000
Tor,87,exit,eo192,1UWIcNK3RCFskJih6Ime6nGfHpI,23.129.64.192,United States,5600
Tor,88,guard,thekillingground,FJZsjvXyu5TQ/Vud5Jti0HE3wWY,85.121.4.6,Romania,7900
Tor,88,middle,prsv,BjKa27KWHMo8Gf+YQ3r6R0bOuCA,45.143.200.3,Switzerland,18000
Tor,88,exit,eo178,XL0woFBDx1KUygcVA0/Rn24ZM+c,23.129.64.178,United States,8500
Tor,89,guard,TORKeFFORG37,BtA0qnk/VxzyI6t4GkC1q6yqWpU,193.189.100.204,Sweden,45000
Tor,89,middle,speakFreely,qa+pM9GM8+9NNJJU/6Pbte5Cyiw,37.221.208.71,Hungary,63000
Tor,89,exit,winner,/gUt1gGBWRmECFBlwFkxq9SCZgM,23.129.64.151,United States,7500
Tor,90,guard,kodakblack,KG9T3Yeu4LCFw080JZr8CwmiWfw,193.200.229.34,Norway,28000
Tor,90,middle,firstRelay,aDJ6phjWtXVeToCAUwoopfW7/TI,84.252.123.112,Germany,21000
Tor,90,exit,fin,l6YWRsBVd+uLJQJ+ueniEJg6eJo,23.129.64.170,United States,6700
Tor,91,guard,Aurorara,1V57PT3orIP5TLPiZNJ/NWVtpiM,57.129.18.204,Germany,210000
Tor,91,middle,biggk,O/a7Tdt44wMdb8nRy0Jg5AFbFcc,96.9.98.4,United States,4600
Tor,91,exit,eo193,jKM2iLmPDqGyU+yvrFHzUDK93Kw,23.129.64.193,United States,6600
Tor,92,guard,fastforward,Xoxu1OBgQwHe1oEMLq0LiT3dFp8,185.150.28.13,Switzerland,95000
Tor,92,middle,ForPrivacyNET,mjOPOExf06NgTjJQzPX192Kddxc,185.220.101.202,Germany,41000
Tor,92,exit,goldwasser,ImKRHFNhjv9hA1a8QLmimP7B2jc,23.129.64.137,United States,5000
Tor,93,guard,YukisTorRelay,LiiaFLZJ9QDBlL1W3uKPCg11Uzw,91.56.13.91,Germany,96000
Tor,93,middle,PancakeWhore,8A7C4KLKeaV/56CRigh5h3R9dy0,94.154.159.96,United States,33000
Tor,93,exit,eo196,i+p7kA1IISSrK6cL3pZUJVBc2MQ,23.129.64.196,United States,4700
Tor,94,guard,Nethergrog,EUVV+GZNMXu5YWwCgQqKB4BJ6uM,162.19.204.163,France,60000
Tor,94,middle,ElectricThing,xyGn/ghjjmEpPVW9cXwbMwlYQX4,206.71.158.54,The Netherlands,140000
Tor,94,exit,eo193,jKM2iLmPDqGyU+yvrFHzUDK93Kw,23.129.64.193,United States,6600
Tor,95,guard,PeachUnknown,H7nMvgLPEJeOqxaUOXOsXFSPokM,79.141.174.124,Sweden,63000
Tor,95,middle,prsv,CpalHa8IdwJ/vPRZL7xFLcRpypo,162.19.79.247,France,67000
Tor,95,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Tor,96,guard,ytcracker,V29pW9WC4xihQBDkpMhPmKlh/jE,64.65.0.50,United States,44000
Tor,96,middle,Tordel2,cVWQoeFlS4l8bqx2mcyafKnvAKs,5.181.134.99,The Netherlands,22000
Tor,96,exit,bowden,pbyQi1JNl03Yu5vVGr3fJ5jxJX8,23.129.64.133,United States,5500
Tor,97,guard,ForPrivacyNET,rfDVGUbaMpTB8kKwrK3JH/XwWO8,185.220.101.206,Germany,31000
Tor,97,middle,Weltbank,ImA3p/NtDJ9FtqRoEpghpLm3aiI,147.135.214.61,France,32000
Tor,97,exit,winner,/gUt1gGBWRmECFBlwFkxq9SCZgM,23.129.64.151,United States,7500
Tor,98,guard,rexIndex2,uNp517imvqG1emgnRJhGmoxRhWU,77.90.52.145,Germany,100000
Tor,98,middle,fluffypancakes003nl,CcN1GE3pmc4bSsA0GQ9an5Fkefk,185.227.70.177,The Netherlands,23000
Tor,98,exit,eo211,MLAzU8GCNuhGNlPji+sNsflNp+o,23.129.64.211,United States,7500
Tor,99,guard,ObsidianDefender,XtiLDcQN2QD/7F4wD3ooxsRIEJQ,89.58.49.219,Germany,56000
Tor,99,middle,Digitalcourage4ip6b,diIT0yewp2BX9LYc1YftQjjNkA4,185.220.101.109,Germany,60000
Tor,99,exit,eo188,UwozKircr21DEqBza83feWoJcls,23.129.64.188,United States,5900
Geo,0,guard,NTH11R3,sJq2Z+l0cKqqWQB3ODokQ3ImoSc,192.42.116.208,The Netherlands,28000
Geo,0,middle,DakotaEdge2,3jozpFb170vEhgoTrcPGt+0YLvo,178.32.41.33,France,150000
Geo,0,exit,eo178,XL0woFBDx1KUygcVA0/Rn24ZM+c,23.129.64.178,United States,8500
Geo,1,guard,marcuse13,eK1ur2kE53cQNinWV5dm22Rmqj4,178.20.55.182,France,27000
Geo,1,middle,Quetzalcoatl,e9QWZSAQt8QiAr5A90mkFwA+zSw,188.68.49.235,Germany,62000
Geo,1,exit,eo179,2tiBXBroKxiI9EcgyUFrH4kbNjk,23.129.64.179,United States,6500
Geo,2,guard,freedomHostingByXOR,y8yF8zXiBwX3kc/IaFlRyQ4kE00,185.231.33.38,Seychelles,190000
Geo,2,middle,ChickenRun,e8edvuJ8kVeX6KK4O+oNcXFqcTo,209.133.196.18,United States,27000
Geo,2,exit,NotYourWifi,8vT0ATir0Vgo9VLWuqCInrVWWpo,72.5.43.62,Romania,10000
Geo,3,guard,TORnadoExit01,VVFBoPhbVzHi6JTVE4SOYLgtjjw,109.71.252.88,Germany,120000
Geo,3,middle,RuneByteNET,0rfZTrMKy5zA6MLZCjQJZVfLqQg,185.40.4.143,Norway,38000
Geo,3,exit,eo206,9jmdtyTD+GiDPzjXAfDjEasEi6g,23.129.64.206,United States,5300
Geo,4,guard,arbertDelroth,BDK+6Cn8sVXOks9Bi3KA+YSeEtA,77.109.152.77,Switzerland,120000
Geo,4,middle,lunar10,YBIGnKTeV4DrmgUY8VpYonT+bzg,203.55.81.2,France,40000
Geo,4,exit,dorza,RqYDLuWuQGjYu+LVk4+YpNUw4cE,23.129.64.168,United States,8000
Geo,5,guard,zgato,+HRNnqi9QMnH19NVXRIQuTsu3Yo,103.167.234.56,Poland,25000
Geo,5,middle,Charybdis2,He7NkGr+z0lrfcHkCCn0VjUXtMw,92.205.129.7,France,63000
Geo,5,exit,manning,mom23vWO4eRCUbK0WXgmx2hq818,23.129.64.142,United States,6000
Geo,6,guard,bereznik,XVJoLo/v7W8zmXX7e5OHUqNrQvg,94.23.168.79,France,82000
Geo,6,middle,Freebsd2324,H3jUfSC6Os+dzlD0Uzpc6iMs85g,148.251.125.117,Germany,150000
Geo,6,exit,eo187,DxQADibWP6k8lrPwj0UxlicV1bs,23.129.64.187,United States,6500
Geo,7,guard,F3Netze,nVp6gbxhlFVc51H3X7GW5KOYLMU,185.220.100.243,Germany,89000
Geo,7,middle,paradeiser,0k0MKKtIdoz4t53XYtYdtP0BVnc,109.70.100.3,Austria,50000
Geo,7,exit,eo202,YJBFU8HEDzxQPz8Q4vf23r7NbL8,23.129.64.202,United States,5800
Geo,8,guard,Spigen,h02EOCyJLz9hzJ4Qa/CIQ94Lhlo,192.42.113.102,The Netherlands,62000
Geo,8,middle,charon,yGxTjvCiTgEDQvMNvKzCp+t8qDM,94.72.111.123,United Kingdom,25000
Geo,8,exit,eo183,gDb0KH7WHODEK1c0+HPuecDMfic,23.129.64.183,United States,6100
Geo,9,guard,Quetzalcoatl,zKmXONZOz44tR4+rqdOO2ua13P0,45.80.158.75,The Netherlands,14000
Geo,9,middle,raschera,y/07MDK/ucL4shoM0NTn0JimMXs,64.190.76.3,Italy,27000
Geo,9,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Geo,10,guard,Ulcerate,A4q7t1Kxy+63ebpMxzsi9lf+428,57.128.220.107,Poland,63000
Geo,10,middle,iLoveSimpleX,3mW950gW6UADb8xfQ5JsZd4Iwcc,178.17.170.144,Moldova,10000
Geo,10,exit,eo196,i+p7kA1IISSrK6cL3pZUJVBc2MQ,23.129.64.196,United States,4700
Geo,11,guard,itomori,hhvP3RSJc5hef+l8dFXJ5KxOE74,157.90.212.53,Germany,73000
Geo,11,middle,cozybeardev,pKmLTk67qt5cgibQQVVegrWTQvM,176.65.149.100,The Netherlands,56000
Geo,11,exit,eo186,fTZMnJO77Cuv/7fJiqIN4CVbWlE,23.129.64.186,United States,7900
Geo,12,guard,Charybdis,y/Wexbn9EICSrpFJ79rkH4gtpmk,92.205.129.119,France,54000
Geo,12,middle,kerpatenko,WSZ+w9x1fPhQ2g9a8Dq15px1/rc,185.246.188.73,The Netherlands,98000
Geo,12,exit,horgabost,HStkAZcBObKwANYzSWifErPjJyM,23.129.64.174,United States,6600
Geo,13,guard,ForPrivacyNET,jN9Kda52MaAV4CDP+dzpU2zkxWs,185.220.101.55,Germany,46000
Geo,13,middle,Teuntje,XBJKJ//WWMt2FlcY2r/9QJP1yCc,192.42.113.101,The Netherlands,65000
Geo,13,exit,NotYourWifi,8vT0ATir0Vgo9VLWuqCInrVWWpo,72.5.43.62,Romania,10000
Geo,14,guard,geheimkaisx,zRC1KsyKCtfRtMQLhJdxvR0N/0U,5.181.51.51,Germany,9400
Geo,14,middle,LupusreginaBeta,v1Dgnu0luChhz5XhqqQtz+9T5dE,213.113.2.171,Sweden,59000
Geo,14,exit,eo184,c7ur0VBJGc4WO9Req5TTym1RQlo,23.129.64.184,United States,8000
Geo,15,guard,KoopaRelay,AsfuzN94FPui2xy67QANBuijLug,212.51.151.254,Switzerland,120000
Geo,15,middle,r0cket01i7,7S40hpzMvOkyHeu7lXUHqFoVXO8,45.84.107.198,Sweden,45000
Geo,15,exit,ellsburg,p4NGoB7tPvZtK6XjSpZJPRtDwEg,23.129.64.135,United States,6000
Geo,16,guard,DFRI49,RsvQ6wjfpTFTM1jUcNgwgda+g+0,171.25.193.35,Sweden,22000
Geo,16,middle,NTH11R1,5OAgupmXur8RzA5E9iuqqG6Y+3M,192.42.116.208,The Netherlands,24000
Geo,16,exit,goldwasser,ImKRHFNhjv9hA1a8QLmimP7B2jc,23.129.64.137,United States,5000
Geo,17,guard,pinselohrkatze00,dtLrqCu8yj358lSpqDcqEKJvPRQ,134.130.172.229,Germany,38000
Geo,17,middle,NFOrce,DZ/Qkaz4CLOay9c9gtn7o1FUUiM,185.107.57.105,The Netherlands,130000
Geo,17,exit,merkle,UyHfqm1Zd+sFuA7p2cikiTkeNWY,23.129.64.156,United States,5200
Geo,18,guard,relay0vpsfree0cz,97Ak2wLGARhcIC4m3/0q1SXBajY,37.205.8.191,Czechia,37000
Geo,18,middle,Elektra,pbI89GLakZvdlxczGicgZ5Fom4c,148.251.10.237,Germany,110000
Geo,18,exit,ellsburg,p4NGoB7tPvZtK6XjSpZJPRtDwEg,23.129.64.135,United States,6000
Geo,19,guard,dotsrcRelay1,tONUawWP62VabYaY2XwUWaLfjnc,130.225.244.90,Denmark,71000
Geo,19,middle,relayon0129,VZ1B/IVRQ5zVY2V9aeID/2VpYqU,185.220.101.129,Germany,87000
Geo,19,exit,swartz,7EnECisLXi3vaZ02ZOAzyeUabDE,23.129.64.148,United States,6000
Geo,20,guard,Polyphemus2,BEQo2RDAN5MqB2O7CJdplD9rpkg,198.251.84.163,Luxembourg,49000
Geo,20,middle,spitzkohl,ut7Ks9AVJMMMkl2QaX5tTyBJOns,109.70.100.66,Austria,38000
Geo,20,exit,eo201,sJ87cimHj5l/qTki/iz8XptzkX8,23.129.64.201,United States,7400
Geo,21,guard,Panama,mQf+8AfkdUcs9IwSrSQI6hAXyvs,62.210.181.63,France,49000
Geo,21,middle,Kanellos,cLD9JjGMYFjTYwWcacrZzpylh8E,146.0.36.87,Germany,36000
Geo,21,exit,eo211,MLAzU8GCNuhGNlPji+sNsflNp+o,23.129.64.211,United States,7500
Geo,22,guard,anonymoushippotamus,telzxIiuGE5LAWZaZgFGbTvvAa8,95.169.191.6,Germany,11000
Geo,22,middle,prsv,itFBaAeK7ZSQFAYz9xhnZw7M4eY,146.19.168.223,France,33000
Geo,22,exit,eo179,2tiBXBroKxiI9EcgyUFrH4kbNjk,23.129.64.179,United States,6500
Geo,23,guard,stitches,NjXOH+JOtSyhpZ42jxjGhqJxYpU,193.200.229.34,Norway,32000
Geo,23,middle,w000000h000004,Txm4ghgmN3gljTMWURq4ja/CXyw,185.246.84.179,France,1400
Geo,23,exit,eo189,2MaEt+xqU8jlQcR4xFozQzI9Qkw,23.129.64.189,United States,6000
Geo,24,guard,Alishakuer,eWipSn+2+GU027BCDS4+joBrigw,84.200.125.118,Germany,63000
Geo,24,middle,r0cket13i4,i59+59hWw6lNBB7LJOzgWbz3F8s,45.84.107.97,Sweden,47000
Geo,24,exit,eo178,XL0woFBDx1KUygcVA0/Rn24ZM+c,23.129.64.178,United States,8500
Geo,25,guard,dotsrcExit8,YqTmv+h1Q3h563mBw/wDENNQavU,185.129.61.8,Denmark,57000
Geo,25,middle,pingj,ubJn7zcWSY2s9dec7dfQJYdjmKE,185.247.184.105,Italy,51000
Geo,25,exit,manning,mom23vWO4eRCUbK0WXgmx2hq818,23.129.64.142,United States,6000
Geo,26,guard,relay,/zBZ535dIvHDsgzL4SVpGtJ1iN0,185.163.45.247,Moldova,6300
Geo,26,middle,torbogen3,K45kKBH/b2EGAPJwOrWeQvuaAMs,94.16.113.89,Germany,51000
Geo,26,exit,young,WSelF+8do1QuRNLOubne0x2M6sE,23.129.64.152,United States,5400
Geo,27,guard,prsv,1qdHYSTuVx4r6Llv6QxgGd4hLYE,31.58.214.94,United Kingdom,30000
Geo,27,middle,prsv,i4qKH3YI384mB9LeN+lkNDAuulg,80.94.92.135,Romania,8600
Geo,27,exit,gun,xyaIdq6E/4RlmuIR6OA+aKYQtIs,23.129.64.157,United States,6500
Geo,28,guard,Orrion,10kUAn1W4rfUMQVvDIuID/LYsHo,138.201.54.59,Germany,91000
Geo,28,middle,SwissNETLNOB,z+UvjBgNE9DXMMgYd06lAv8gc7Q,185.66.109.249,Switzerland,40000
Geo,28,exit,eo185,xpeYB0jTH3q4i3+WizK6fafMQrE,23.129.64.185,United States,6500
Geo,29,guard,NTH12R2,VdfFl5TG+GOwKffSVh1nQYwl/q4,192.42.116.209,The Netherlands,32000
Geo,29,middle,Exits4Privacy,Lmp+EzqBvEA+OYSARtol3g4IWA0,192.76.160.136,Germany,160000
Geo,29,exit,eo186,fTZMnJO77Cuv/7fJiqIN4CVbWlE,23.129.64.186,United States,7900
Geo,30,guard,goldnpapi,g0hfIIDWdUuqyjEnMnYR9niynME,64.65.62.46,United States,11000
Geo,30,middle,Liberation,u+r/JKnTQG3MlUhN6zt935ipmYA,87.236.199.239,Czechia,100000
Geo,30,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Geo,31,guard,prsv,MH66EK+wgsacC5rrgYKpaKR47K4,45.148.10.111,The Netherlands,42000
Geo,31,middle,F3Netze,nVp6gbxhlFVc51H3X7GW5KOYLMU,185.220.100.243,Germany,89000
Geo,31,exit,eo199,mVG9Jp0YbfNrEnTPdKSqRdZvPEI,23.129.64.199,United States,6100
Geo,32,guard,Islay,9Ic7PsMyW4HcNsfjitOl7RKy8zk,5.135.68.65,France,34000
Geo,32,middle,Verox,ZG5+uxZgIsHK22yUtKsDqFCb9Dc,91.179.18.97,Belgium,24000
Geo,32,exit,winner,/gUt1gGBWRmECFBlwFkxq9SCZgM,23.129.64.151,United States,7500
Geo,33,guard,NFOrce,pdaLGJaWhdACcDWqLHJ7yrTYv2Y,185.107.57.105,The Netherlands,84000
Geo,33,middle,prsv,QTTNxrWu/eh1+hIS2jgCAdm/ooY,51.77.214.113,France,100000
Geo,33,exit,agnese,UruOXLJBaeBEJaXi83lm/i2i9rY,23.129.64.173,United States,8100
Geo,34,guard,Weltbank,CEP2UiVYFOgQohsqFvzsBNDfDgo,147.135.214.61,France,42000
Geo,34,middle,BEEzar,fu3VTlRX2gCeRskbvx9EPc7gGWg,144.76.159.218,Germany,90000
Geo,34,exit,eo186,fTZMnJO77Cuv/7fJiqIN4CVbWlE,23.129.64.186,United States,7900
Geo,35,guard,Digitalcourage4ip3a,ot0O8xgT6bf220NVBKQG4a0rdqs,185.220.101.106,Germany,75000
Geo,35,middle,Logforme3,j2p4seqRfyvyIeh9FDYcBQpwzMM,213.65.242.20,Sweden,110000
Geo,35,exit,dingledine,UCli7IhXadw9KG49KKeqwjBN2xk,23.129.64.162,United States,6400
Geo,36,guard,RelayUli,5gB/S2v2OQVHC1WAe6mW7EjHLWs,57.131.24.118,France,40000
Geo,36,middle,MyDockerRelay,KtK9cqljMuKnFzC81ogcppeRujc,83.167.224.198,Czechia,6600
Geo,36,exit,sullyhelpstor,4JmcX0LRIgSqgDhlPbrNzh9A5/8,107.189.13.254,Luxembourg,24000
Geo,37,guard,terNOicebeer22,QP3rFEkV40UpCBVTTjcl272roLA,185.40.4.38,Norway,48000
Geo,37,middle,0000000000000000006,2hfs6JUmhQOY/9EZfnaEs91xPA8,213.64.109.169,Sweden,12000
Geo,37,exit,young,WSelF+8do1QuRNLOubne0x2M6sE,23.129.64.152,United States,5400
Geo,38,guard,prsv,XfqrrTGz/4pOBeqkDHbqERmMQO0,194.26.192.186,The Netherlands,29000
Geo,38,middle,DFRI112,1Bb3yNg8rZE/PgkyABQXDVT+aqA,171.25.193.79,Sweden,32000
Geo,38,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Geo,39,guard,pKD9jZ19N1LiTvsjOF3,N93xkG7j25YTCnF+pUZnxk2seN8,202.61.224.179,Germany,37000
Geo,39,middle,DFRI137,svXgjUlIbEHKyvJ9h5X233uXMf4,171.25.193.132,Sweden,29000
Geo,39,exit,fin,l6YWRsBVd+uLJQJ+ueniEJg6eJo,23.129.64.170,United States,6700
Geo,40,guard,potential,m4FWXOmXDCBdHP8mVhcWCNhgPN4,37.59.29.77,France,95000
Geo,40,middle,QuakePHOBOS,EzHU8g+Wef6p8ar6LqnJkqxvFy4,5.199.162.114,Lithuania,34000
Geo,40,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Geo,41,guard,prsv,tGOF31aZjJgWYkg1sZPnnqW2ZJA,185.40.4.20,Norway,31000
Geo,41,middle,Exits4Privacy,RKCtwH6XxNZguNDV53g3fCqNmVk,192.76.160.139,Germany,160000
Geo,41,exit,sullyhelpstor,4JmcX0LRIgSqgDhlPbrNzh9A5/8,107.189.13.254,Luxembourg,24000
Geo,42,guard,TORnadoExit01,VVFBoPhbVzHi6JTVE4SOYLgtjjw,109.71.252.88,Germany,120000
Geo,42,middle,easybird,b+MKKlnpouhHI88F48UFG7QhddM,82.67.103.92,France,83000
Geo,42,exit,eo209,4a/mlyQfZFe2xSoVhXa04RKi+JQ,23.129.64.209,United States,6600
Geo,43,guard,SteinchesTORRelay,a9OhawoM/mST+ce0Ioz7GSRo84o,217.160.79.224,Germany,63000
Geo,43,middle,bauruine,8MvLoMrOAlUNqoIrlMV5fdwfx4o,185.40.4.29,Norway,32000
Geo,43,exit,perlman,1quJoTlndOh6MJaCAIsmZFsDoh8,23.129.64.159,United States,8500
Geo,44,guard,Polyphemus13,/12Q7YnO1iY1jnB0EyBn4VfuukE,198.251.89.96,Luxembourg,27000
Geo,44,middle,zgato,dyayEVJTGUBGwvh9TZluFDhYHRE,103.167.235.55,Germany,11000
Geo,44,exit,nenapini,dh+a7RXJyMeB4XdDPNkUOehCq9Q,23.129.64.169,United States,7500
Geo,45,guard,dotsrcRelay1,tONUawWP62VabYaY2XwUWaLfjnc,130.225.244.90,Denmark,71000
Geo,45,middle,wokestaywokestay,19WtRnXTPZ3KrGHgfVupKmkI+Ro,149.202.79.129,France,32000
Geo,45,exit,eo203,zOM1Kl8d/7gt8r5jfrOxoEjSJPs,23.129.64.203,United States,6100
Geo,46,guard,2fer,jvOQoMqjH2rXpeK+eXbzNHaiRew,65.109.233.53,Finland,47000
Geo,46,middle,Ulcerate,Fmly6bzq94qbLyjRqAFBhhuDuy4,5.189.176.236,France,17000
Geo,46,exit,bowden,pbyQi1JNl03Yu5vVGr3fJ5jxJX8,23.129.64.133,United States,5500
Geo,47,guard,punkpop,s9OYs4b68st4tEf7pGvyZIw/SM0,162.55.131.67,Germany,85000
Geo,47,middle,Quetzalcoatl,xluagOpcb6MiUeqvppHfbcn6reE,45.141.215.238,Poland,10000
Geo,47,exit,eo184,c7ur0VBJGc4WO9Req5TTym1RQlo,23.129.64.184,United States,8000
Geo,48,guard,TorNode07dot4,TQJF0rb7IvgY2l7Aw6gzi3R0zgc,217.154.23.190,France,56000
Geo,48,middle,torbogen3,K45kKBH/b2EGAPJwOrWeQvuaAMs,94.16.113.89,Germany,51000
Geo,48,exit,eo203,zOM1Kl8d/7gt8r5jfrOxoEjSJPs,23.129.64.203,United States,6100
Geo,49,guard,nobutaka,4vZ+7ByM0X0X0wm2OYbqbL0Y6iA,91.208.75.156,Romania,7600
Geo,49,middle,frozone,xF/lxBrMN+TqRof/xUp08SRzna8,144.76.166.141,Germany,110000
Geo,49,exit,turing,jmnyGcEqX3WFz2ReTprnIMPmzCs,23.129.64.150,United States,8300
Geo,50,guard,bauruine,Es2bJPt/mB6AD4ajfe+ke0rlctw,78.142.18.219,The Netherlands,46000
Geo,50,middle,Perseverance,UBYf9CsRuHxM3SEM+ctJCnsIjbs,87.236.195.216,Czechia,120000
Geo,50,exit,eo181,njcV4OAZmgDUF09zNJ6l/BpxbgA,23.129.64.181,United States,8300
Geo,51,guard,Quetzalcoatl,q3NmklxEZCTn7jMXm+q0sS2GlrY,45.9.156.101,Bulgaria,7500
Geo,51,middle,Yogurt,7/QujsLwfFsoizcBwzai8lEuQfA,85.195.203.203,Switzerland,43000
Geo,51,exit,phin,hHL24iqE3uCAehgQdOQRDjTlQPg,107.175.93.157,United States,7000
Geo,52,guard,torrelay583481,bkkV6dhuYH1o2ZuYqaY/YOWILVc,78.46.92.172,Germany,150000
Geo,52,middle,magic848relay,dFNrVDZUnXfrmhSOGeS7b4KF1eg,193.108.53.121,Switzerland,46000
Geo,52,exit,swartz,7EnECisLXi3vaZ02ZOAzyeUabDE,23.129.64.148,United States,6000
Geo,53,guard,vivaukraine,7KCOry0oylS9SH7kZBgvWJXeFog,94.130.52.190,Germany,120000
Geo,53,middle,torexitams00,guJwiVekHtoIGe4cX/w+LcOLn+k,45.66.35.20,The Netherlands,160000
Geo,53,exit,bonobo,PlYTZEhcg/V7LiiZbd71SD1lmig,23.129.64.224,United States,6100
Geo,54,guard,tr3,TdauV04Sc2csh5is0HuH7wiCTpU,45.132.126.26,Germany,93000
Geo,54,middle,r0cket08i7,2A+SPj8EppSFRGqn9w1V/XRekIY,45.84.107.172,Sweden,58000
Geo,54,exit,horgabost,HStkAZcBObKwANYzSWifErPjJyM,23.129.64.174,United States,6600
Geo,55,guard,prsv,7oltdqUyrnwGdvwCs58uyzstgmY,135.125.183.193,France,82000
Geo,55,middle,Quetzalcoatl,L9sOCMVjq10iX9vVU9EXyW0RYO0,45.138.16.164,Poland,28000
Geo,55,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Geo,56,guard,torexitams07,/bISpHpYzMWPHq3Bzh202swjNuk,45.66.35.27,The Netherlands,120000
Geo,56,middle,prsv,ur/s/vB+dUVQpz2/0HOmKAfywEg,91.219.23.77,Germany,22000
Geo,56,exit,diffie,BvC7TN9NdeXoJlpicMENL9/mSqo,23.129.64.154,United States,4600
Geo,57,guard,effiorgoulu,dCCRSG0Ec0xX2XvO+1PSLtC3eIE,185.67.82.114,Finland,26000
Geo,57,middle,StarAppsTrenton,dOi2gEKid0iEu/Z+Q6vsTZ5d9Zo,84.234.21.32,Switzerland,58000
Geo,57,exit,eo213,5JdYyjP8/AjJyfGD09OCLXA9iFs,23.129.64.213,United States,5900
Geo,58,guard,Quetzalcoatl,9ybZSaqFMmcb8kk92kpBf98Ql/E,45.141.215.114,Poland,23000
Geo,58,middle,ce2cb4203f79,iW6bboOEt2DHkRFcC1vHlV4YmWU,87.106.86.231,Germany,97000
Geo,58,exit,Andr0medaTF,xG/tTWWCx5ZIlZ6TS2zn1A4sDyc,205.185.116.215,United States,3100
Geo,59,guard,ForPrivacyNET,/HKPMpyS1npDXvuh00tZM9qmD2I,185.220.101.39,Germany,47000
Geo,59,middle,giovanna,ETerH4TsLVLfsZFXF/FP8aEOs5I,185.227.68.78,Finland,26000
Geo,59,exit,keite,2FaXfCglfscN+TeyywborJiUBhM,23.129.64.175,United States,8000
Geo,60,guard,BiggerBetter,e4QvtIz/GYmMgzahHKo/QlyQ+bU,88.151.194.118,Azerbaijan,87000
Geo,60,middle,NTH22R7,7j5GZFFmZ6SpTXlxgsG/V5Ygdvk,192.42.116.174,The Netherlands,19000
Geo,60,exit,perlman,1quJoTlndOh6MJaCAIsmZFsDoh8,23.129.64.159,United States,8500
Geo,61,guard,0x37A1AE0C,k5dRLoymIZ8KsERmRTKJ9iKzXeA,94.247.217.230,Switzerland,10000
Geo,61,middle,PRQseTORexit8,o8I+8h/3U3GOsUZDEgvPc8LMAmM,88.80.26.2,Sweden,19000
Geo,61,exit,eo213,5JdYyjP8/AjJyfGD09OCLXA9iFs,23.129.64.213,United States,5900
Geo,62,guard,TORKeFFORG31,64TmaEok4NpPk+2Pfjwgcr3c2BM,193.189.100.198,Sweden,45000
Geo,62,middle,f89g65f21,h7NVfz55IhfivE6ZI+rKSuxbqcM,84.50.179.180,Estonia,21000
